update,org,not,nand,and,orn,or,andn,nor,xor,equ,dead,parasites,parasite_not,parasite_nand,parasite_and,parasite_orn,parasite_or,parasite_andn,parasite_nor,parasite_xor,parasite_equ
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,124,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,131,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,139,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,142,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
19,153,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
20,156,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
21,158,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0
22,155,0,0,1,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0
23,149,0,0,1,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0
24,156,0,0,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
25,153,0,0,2,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0
26,153,0,0,2,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0
27,146,0,0,2,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0
28,147,0,0,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
29,153,0,0,2,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
30,154,0,0,2,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
31,153,0,0,2,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
32,143,0,0,2,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0
33,141,0,0,2,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0
34,145,0,0,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
35,148,0,0,2,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0
36,144,0,0,2,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0
37,146,0,0,2,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0
38,146,0,0,2,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0
39,154,0,0,2,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0
40,151,0,0,2,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
41,154,0,0,2,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0
42,143,0,0,2,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0
43,144,0,0,2,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
44,147,0,0,2,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
45,147,0,0,2,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
46,144,0,0,2,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
47,143,0,0,2,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
48,141,0,0,2,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0
